"","value"
"4902","lightning was squirting around low down in the sky, and the leaves was"
"4903","beginning to shiver—it was going to be pretty ugly, it was easy to see"
"4904","that. So the duke and the king went to overhauling our wigwam, to see"
"4905","what the beds was like. My bed was a straw tick better than Jim’s,"
"4906","which was a corn-shuck tick; there’s always cobs around about in a"
"4907","shuck tick, and they poke into you and hurt; and when you roll over the"
"4908","dry shucks sound like you was rolling over in a pile of dead leaves; it"
"4909","makes such a rustling that you wake up. Well, the duke allowed he would"
"4910","take my bed; but the king allowed he wouldn’t. He says:"
"4911",""
"4912","“I should a reckoned the difference in rank would a sejested to you"
"4913","that a corn-shuck bed warn’t just fitten for me to sleep on. Your Grace"
"4914","’ll take the shuck bed yourself.”"
"4915",""
"4916","Jim and me was in a sweat again for a minute, being afraid there was"
"4917","going to be some more trouble amongst them; so we was pretty glad when"
"4918","the duke says:"
"4919",""
"4920","“’Tis my fate to be always ground into the mire under the iron heel of"
"4921","oppression. Misfortune has broken my once haughty spirit; I yield, I"
"4922","submit; ’tis my fate. I am alone in the world—let me suffer; can bear"
"4923","it.”"
"4924",""
"4925","We got away as soon as it was good and dark. The king told us to stand"
"4926","well out towards the middle of the river, and not show a light till we"
"4927","got a long ways below the town. We come in sight of the little bunch of"
"4928","lights by-and-by—that was the town, you know—and slid by, about a half"
"4929","a mile out, all right. When we was three-quarters of a mile below we"
"4930","hoisted up our signal lantern; and about ten o’clock it come on to rain"
"4931","and blow and thunder and lighten like everything; so the king told us"
"4932","to both stay on watch till the weather got better; then him and the"
"4933","duke crawled into the wigwam and turned in for the night. It was my"
"4934","watch below till twelve, but I wouldn’t a turned in anyway if I’d had a"
"4935","bed, because a body don’t see such a storm as that every day in the"
"4936","week, not by a long sight. My souls, how the wind did scream along! And"
"4937","every second or two there’d come a glare that lit up the white-caps for"
"4938","a half a mile around, and you’d see the islands looking dusty through"
"4939","the rain, and the trees thrashing around in the wind; then comes a"
"4940","_h-whack!_—bum! bum! bumble-umble-um-bum-bum-bum-bum—and the thunder"
"4941","would go rumbling and grumbling away, and quit—and then _rip_ comes"
"4942","another flash and another sockdolager. The waves most washed me off the"
"4943","raft sometimes, but I hadn’t any clothes on, and didn’t mind. We didn’t"
"4944","have no trouble about snags; the lightning was glaring and flittering"
"4945","around so constant that we could see them plenty soon enough to throw"
"4946","her head this way or that and miss them."
"4947",""
"4948","I had the middle watch, you know, but I was pretty sleepy by that time,"
"4949","so Jim he said he would stand the first half of it for me; he was"
"4950","always mighty good that way, Jim was. I crawled into the wigwam, but"
"4951","the king and the duke had their legs sprawled around so there warn’t no"
"4952","show for me; so I laid outside—I didn’t mind the rain, because it was"
"4953","warm, and the waves warn’t running so high now. About two they come up"
"4954","again, though, and Jim was going to call me; but he changed his mind,"
"4955","because he reckoned they warn’t high enough yet to do any harm; but he"
"4956","was mistaken about that, for pretty soon all of a sudden along comes a"
"4957","regular ripper and washed me overboard. It most killed Jim a-laughing."
"4958","He was the easiest nigger to laugh that ever was, anyway."
"4959",""
"4960","I took the watch, and Jim he laid down and snored away; and by-and-by"
"4961","the storm let up for good and all; and the first cabin-light that"
"4962","showed I rousted him out, and we slid the raft into hiding quarters for"
"4963","the day."
"4964",""
"4965","The king got out an old ratty deck of cards after breakfast, and him"
"4966","and the duke played seven-up a while, five cents a game. Then they got"
"4967","tired of it, and allowed they would “lay out a campaign,” as they"
"4968","called it. The duke went down into his carpet-bag, and fetched up a lot"
"4969","of little printed bills and read them out loud. One bill said, “The"
"4970","celebrated Dr. Armand de Montalban, of Paris,” would “lecture on the"
"4971","Science of Phrenology” at such and such a place, on the blank day of"
"4972","blank, at ten cents admission, and “furnish charts of character at"
"4973","twenty-five cents apiece.” The duke said that was _him_. In another"
"4974","bill he was the “world-renowned Shakespearian tragedian, Garrick the"
"4975","Younger, of Drury Lane, London.” In other bills he had a lot of other"
"4976","names and done other wonderful things, like finding water and gold with"
"4977","a “divining-rod,” “dissipating witch spells,” and so on. By-and-by he"
"4978","says:"
"4979",""
"4980","“But the histrionic muse is the darling. Have you ever trod the boards,"
"4981","Royalty?”"
"4982",""
"4983","“No,” says the king."
"4984",""
"4985","“You shall, then, before you’re three days older, Fallen Grandeur,”"
"4986","says the duke. “The first good town we come to we’ll hire a hall and do"
"4987","the sword fight in Richard III. and the balcony scene in Romeo and"
"4988","Juliet. How does that strike you?”"
"4989",""
"4990","“I’m in, up to the hub, for anything that will pay, Bilgewater; but,"
"4991","you see, I don’t know nothing about play-actin’, and hain’t ever seen"
"4992","much of it. I was too small when pap used to have ’em at the palace. Do"
"4993","you reckon you can learn me?”"
"4994",""
"4995","“Easy!”"
"4996",""
"4997","“All right. I’m jist a-freezn’ for something fresh, anyway. Le’s"
"4998","commence right away.”"
"4999",""
"5000","So the duke he told him all about who Romeo was and who Juliet was, and"
"5001","said he was used to being Romeo, so the king could be Juliet."
"5002",""
"5003","“But if Juliet’s such a young gal, duke, my peeled head and my white"
"5004","whiskers is goin’ to look oncommon odd on her, maybe.”"
"5005",""
"5006","“No, don’t you worry; these country jakes won’t ever think of that."
"5007","Besides, you know, you’ll be in costume, and that makes all the"
"5008","difference in the world; Juliet’s in a balcony, enjoying the moonlight"
"5009","before she goes to bed, and she’s got on her night-gown and her ruffled"
"5010","nightcap. Here are the costumes for the parts.”"
"5011",""
"5012","He got out two or three curtain-calico suits, which he said was"
"5013","meedyevil armor for Richard III. and t’other chap, and a long white"
"5014","cotton nightshirt and a ruffled nightcap to match. The king was"
"5015","satisfied; so the duke got out his book and read the parts over in the"
"5016","most splendid spread-eagle way, prancing around and acting at the same"
"5017","time, to show how it had got to be done; then he give the book to the"
"5018","king and told him to get his part by heart."
"5019",""
"5020","There was a little one-horse town about three mile down the bend, and"
"5021","after dinner the duke said he had ciphered out his idea about how to"
"5022","run in daylight without it being dangersome for Jim; so he allowed he"
"5023","would go down to the town and fix that thing. The king allowed he would"
"5024","go, too, and see if he couldn’t strike something. We was out of coffee,"
"5025","so Jim said I better go along with them in the canoe and get some."
"5026",""
"5027","When we got there there warn’t nobody stirring; streets empty, and"
"5028","perfectly dead and still, like Sunday. We found a sick nigger sunning"
"5029","himself in a back yard, and he said everybody that warn’t too young or"
"5030","too sick or too old was gone to camp-meeting, about two mile back in"
"5031","the woods. The king got the directions, and allowed he’d go and work"
"5032","that camp-meeting for all it was worth, and I might go, too."
"5033",""
"5034","The duke said what he was after was a printing-office. We found it; a"
"5035","little bit of a concern, up over a carpenter shop—carpenters and"
"5036","printers all gone to the meeting, and no doors locked. It was a dirty,"
"5037","littered-up place, and had ink marks, and handbills with pictures of"
"5038","horses and runaway niggers on them, all over the walls. The duke shed"
